Estação de origem,Estação de Destino,contagem_viagens,contagem_acumulada,rank,freq_acumulada
INMETRO,ICC Sul,22,36568,460,78.94475507869001
Praça Buriti,Centro de Convenções,22,36590,461,78.99224973554112
Ministério do Planejamento,SAS,22,36612,462,79.03974439239222
EQN 104/105,Rodoviária 3,22,36634,463,79.08723904924332
Shopping Pátio Brasil,Setor Hoteleiro Norte,22,36656,464,79.13473370609442
Rodoviária,Shopping Pátio Brasil,22,36678,465,79.18222836294552
Shopping Pátio Brasil,W2/EQN305/306,22,36700,466,79.22972301979664
Setor Hoteleiro Norte,Torre de TV,22,36722,467,79.27721767664774
Rodoviária 3,CLN 403,22,36744,468,79.32471233349885
TSE,Banco Central,22,36766,469,79.37220699034995
Torre de TV,SRTVS,22,36788,470,79.41970164720105
Rodoviária 3,102 Sul,22,36810,471,79.46719630405215
Ministério dos Transportes,CLN 406,22,36832,472,79.51469096090327
Rodoviária 3,Galeria,22,36854,473,79.56218561775437
Setor Hoteleiro Norte,Galeria,21,36875,474,79.60752142656679
Rodoviária 3,Liberty Mall,21,36896,475,79.6528572353792
Galeria,SQS 305,21,36917,476,79.69819304419163
Banco Central,Ministério da Saude,21,36938,477,79.74352885300404
SQS 305,EQS 202 / 203,21,36959,478,79.78886466181645
Liberty Mall,CLN 204,21,36980,479,79.83420047062887
INMETRO,PAT,21,37001,480,79.87953627944128
Liberty Mall,Praça Buriti,21,37022,481,79.92487208825371
Ministério da Cultura,Ministério dos Transportes,21,37043,482,79.97020789706613
