Estação de origem,Estação de Destino,contagem_viagens
CNMP - Conselho Nacional do Ministério Público,Catedral Metropolitana,41
CNMP - Conselho Nacional do Ministério Público,EQN 408/409,2
CNMP - Conselho Nacional do Ministério Público,EQS 104/304,2
CNMP - Conselho Nacional do Ministério Público,EQS 202 / 203,28
CNMP - Conselho Nacional do Ministério Público,EQS 204/205,3
CNMP - Conselho Nacional do Ministério Público,Galeria,4
CNMP - Conselho Nacional do Ministério Público,ICC Sul,4
CNMP - Conselho Nacional do Ministério Público,Instituto de Artes,4
CNMP - Conselho Nacional do Ministério Público,Liberty Mall,1
CNMP - Conselho Nacional do Ministério Público,Memorial JK,1
CNMP - Conselho Nacional do Ministério Público,Ministério da Cultura,15
CNMP - Conselho Nacional do Ministério Público,Ministério da Saude,19
CNMP - Conselho Nacional do Ministério Público,Ministério do Planejamento,9
CNMP - Conselho Nacional do Ministério Público,Ministério dos Transportes,1
CNMP - Conselho Nacional do Ministério Público,PAT,4
CNMP - Conselho Nacional do Ministério Público,Rodoviária,72
CNMP - Conselho Nacional do Ministério Público,Rodoviária 2,134
CNMP - Conselho Nacional do Ministério Público,Rodoviária 3,18
CNMP - Conselho Nacional do Ministério Público,SAS,1
CNMP - Conselho Nacional do Ministério Público,SQS 305,4
CNMP - Conselho Nacional do Ministério Público,STF,2
CNMP - Conselho Nacional do Ministério Público,Setor Hoteleiro Norte,2
CNMP - Conselho Nacional do Ministério Público,Shopping Mall,1
CNMP - Conselho Nacional do Ministério Público,Shopping Pátio Brasil,2
CNMP - Conselho Nacional do Ministério Público,Torre de TV,1
Catedral Metropolitana,102 Sul,5
Catedral Metropolitana,Banco Central,14
Catedral Metropolitana,Biblioteca Central,7
Catedral Metropolitana,Brasil 21,12
Catedral Metropolitana,Brasília Shopping,9
Catedral Metropolitana,CLN 204,20
Catedral Metropolitana,CLN 403,27
Catedral Metropolitana,CLN 406,13
Catedral Metropolitana,CNMP - Conselho Nacional do Ministério Público,18
Catedral Metropolitana,Catedral Metropolitana,140
Catedral Metropolitana,Centro Olímpico,1
Catedral Metropolitana,Deck Sul,1
Catedral Metropolitana,EQN 104/105,2
Catedral Metropolitana,EQN 408/409,8
Catedral Metropolitana,EQN 410/411,13
Catedral Metropolitana,EQS 104/304,1
Catedral Metropolitana,EQS 202 / 203,8
Catedral Metropolitana,EQS 204/205,12
Catedral Metropolitana,Galeria,13
Catedral Metropolitana,ICC Sul,5
Catedral Metropolitana,INMETRO,5
Catedral Metropolitana,Instituto de Artes,13
Catedral Metropolitana,Liberty Mall,4
Catedral Metropolitana,Memorial JK,2
Catedral Metropolitana,Ministério da Cultura,17
Catedral Metropolitana,Ministério da Defesa,14
Catedral Metropolitana,Ministério da Saude,78
Catedral Metropolitana,Ministério do Planejamento,6
Catedral Metropolitana,Ministério dos Transportes,15
Catedral Metropolitana,PAT,10
Catedral Metropolitana,Praça do Povo,2
Catedral Metropolitana,Rodoviária,91
Catedral Metropolitana,Rodoviária 2,144
Catedral Metropolitana,Rodoviária 3,38
Catedral Metropolitana,SAS,11
Catedral Metropolitana,SQN 205,7
Catedral Metropolitana,SQS 305,2
Catedral Metropolitana,SRTVS,4
Catedral Metropolitana,STF,103
Catedral Metropolitana,Setor Hoteleiro Norte,6
Catedral Metropolitana,Shopping Mall,1
Catedral Metropolitana,Shopping Pátio Brasil,11
Catedral Metropolitana,TSE,6
Catedral Metropolitana,Torre de TV,3
Catedral Metropolitana,W2/EQN305/306,12
Centro Olímpico,Biblioteca Central,129
Centro Olímpico,Brasília Shopping,1
Centro Olímpico,CLN 204,4
Centro Olímpico,CLN 403,19
Centro Olímpico,CLN 406,93
Centro Olímpico,Centro Olímpico,192
Centro Olímpico,EQN 104/105,1
Centro Olímpico,EQN 408/409,62
Centro Olímpico,EQN 410/411,45
Centro Olímpico,EQS 104/304,2
Centro Olímpico,Galeria,2
Centro Olímpico,ICC Sul,587
Centro Olímpico,INMETRO,1
Centro Olímpico,Instituto de Artes,458
Centro Olímpico,Memorial JK,1
Centro Olímpico,Ministério da Saude,1
Centro Olímpico,Ministério dos Transportes,3
Centro Olímpico,PAT,105
Centro Olímpico,Rodoviária,43
Centro Olímpico,Rodoviária 2,2
Centro Olímpico,Rodoviária 3,4
Centro Olímpico,SAS,1
Centro Olímpico,SQN 205,8
Centro Olímpico,SQS 305,1
Centro Olímpico,SRTVS,1
Centro Olímpico,STF,4
Centro Olímpico,Torre de TV,2
Centro Olímpico,W2/EQN305/306,6
Centro de Convenções,102 Sul,4
Centro de Convenções,Banco Central,1
Centro de Convenções,Biblioteca Central,1
Centro de Convenções,Brasil 21,67
Centro de Convenções,Brasília Shopping,18
Centro de Convenções,CLN 204,1
Centro de Convenções,CLN 403,1
Centro de Convenções,CLN 406,2
Centro de Convenções,CNMP - Conselho Nacional do Ministério Público,1
Centro de Convenções,Catedral Metropolitana,6
Centro de Convenções,Centro de Convenções,100
Centro de Convenções,EQN 104/105,5
Centro de Convenções,EQN 408/409,5
Centro de Convenções,EQN 410/411,10
Centro de Convenções,EQS 104/304,6
Centro de Convenções,EQS 202 / 203,3
Centro de Convenções,EQS 204/205,2
Centro de Convenções,Galeria,11
Centro de Convenções,INMETRO,3
Centro de Convenções,Instituto de Artes,4
Centro de Convenções,Liberty Mall,5
Centro de Convenções,Memorial JK,27
Centro de Convenções,Ministério da Cultura,6
Centro de Convenções,Ministério da Saude,6
Centro de Convenções,Ministério do Planejamento,3
Centro de Convenções,Ministério dos Transportes,1
Centro de Convenções,PAT,5
Centro de Convenções,Praça Buriti,6
Centro de Convenções,Praça do Povo,2
Centro de Convenções,Rodoviária,33
Centro de Convenções,Rodoviária 2,42
Centro de Convenções,Rodoviária 3,158
Centro de Convenções,SAS,5
Centro de Convenções,SQN 205,1
Centro de Convenções,SQS 305,8
Centro de Convenções,SRTVS,9
Centro de Convenções,STF,4
Centro de Convenções,Setor Hoteleiro Norte,34
Centro de Convenções,Shopping Mall,8
Centro de Convenções,Shopping Pátio Brasil,9
Centro de Convenções,TSE,1
Centro de Convenções,Torre de TV,39
Centro de Convenções,W2/EQN305/306,8
Deck Sul,102 Sul,1
Deck Sul,Catedral Metropolitana,5
Deck Sul,Deck Sul,475
Deck Sul,EQS 202 / 203,2
Deck Sul,Rodoviária,1
Deck Sul,Rodoviária 3,5
Deck Sul,SQN 205,1
Deck Sul,STF,1
